Sentence,Neutral (N) / Hostile (H)
in ehtejaj kernay walon kanjaron ko goli maar deni chahiye,H
"hindu dunya mein jahan bhi ho, inteha pasand soch hi rakhta hai",H
mujhey sab ke samney gaaliyan di gayen,H
kanjar tujhey main ne jaan se maar dena hai,H
nasal parasti goron ke khoon mein shamil hoti hai,H
musharraf ko saza darust lekin faisley ka para 66 ghair insani hai,N
kaaley qanoon ke supporters ko bhi qatal ker dena chahiye,H
is manhoos musalman ko itna maro k iski bund phat jaye,H
jo kashmiri fojiyon per pathar phenky usey goli maar do,H
mujhey Chicago bohut pasand hai,N
meray hamsayon ne oonchi awaz mein kanjar khana lagaya hua hai,H
in hindu zalimon ko goli maar do,H
mera dimagh na khaa kutia,H
tu ne meri zindagi dukhon se bhar di hai kutia,H
in amreeki kutton ko afghanistan se nikal jana chahiye,H
mujhey tumhari shakal zeher lagti hai,H
iqra aziz aur yasir hussain ne ajeeb kanjar khana shuru kiya huwa hai,H
"zindagi mein aur kuch ho na ho, pyar zrur hona chahiye",N
main aaj kal bohut enjoy ker raha hun,N
agar tum is waqt meray paas hotay to main tumhara moun tor chuka hota,H
mujhey akela chor do is waqt,N
trump ki kutton wali ho rahi hai aaj kal,H
"insan jesa kerta hai, wesa hi bharta hai",N
usne apni biwi ke moun per thappar raseed ker diya,H
ahmer eik zalim shohar sabit huwa hai,N
agar tum mujhey na milen to main apni jaan de dun ga,N
meri zindagi bohut paycheedah hai,N
mujhey har us shakhs se nafrat hai jo run mureed hai,N
is kutia ne mujhey kangaal ker diya hai,H
"jab tak tu ye chutiyapa nahi chor deti, main tery se nahi bolun ga",H
main coffee peenay ja raha hun,N
agar tu ne mujhey dobara gaali di to main teri bund phaar dun ga,H
"is saffaak shakhs ne 25 masoom bachon ko qatal kiya hai, isey sar e aam phansi deni chahiye",H
mujhey ghar walon ki yaad aa rahi hai,N
aaj 2 saal baad hamari mulakaat ho rahi hai,N
bhook se meri halat buri ho rahi hai,N
main ne aaj sara din ghar per guzara hai,N
main ne apney larkpan ka zamana pakistan se bahir guzara hai,N
ye larki dhokeybaaz hai,H
musalmaan larki ko scarf pehen ker class mein janey ki ijazat nahi di gai,H
lanti ke bachey ne meri gari thok di hai,H
aaj baraf jama denay wali thand per rahi hai,N
oye kamini! apna fasad kahin aur ja ke daal,H
meray sarey dost jahil aur kaminey hein,H
apni kuttey jesi shakal le ker yahan se dafa ho jao aur wapis mat aana,H
kutta eik wafadaar janwar hota hai,N
kutta bhi tum se zayadah wafadaar hota hai kutia,H
mukhtalif musalmaan ilaaqon mein police gharon mein ghus ker aurton aur bachon per tashaddud ker rahi hai,H
mehengai is waqt mulk ka sab se bara masla hai,N
bukhar se meri halat buri ho gai hai,N
ghaza mein israeli fouj shehri abaadi ko nuqsan pohuncha rahi hai,H
main ne tujhey gala daba k maar dena hai,H
sardi ne sab records tor diye hein,N
punjab police ki karkardagi is saal bhi badtareen rahi,N
kaaley coat aur safed coat walon ki larai mein nuqsan ghareeb awam ka ho raha hai,N
meri biwi ne mujhey apna kutta banaya huwa hai,H
kisi sastey smuggler jesa tera moun hai,H
bohut bara chutiya hai tu wesay,H
meray bachey ko hath bhi lagaya to teri maa chod dun ga,H
aaj ke ijlaas mein assembly machli mandi bani hui thi,N
itni sardi per rahi hai k koi pani wali gun dikha ker bhi loot sakta hai,N
mujhey tamam hindoun se nafrat hai ,H
main teri biwi hun koi kutia nahi jo har waqt hukam deta rehta hai,H
meri mehbooba ne aaj mujhey perfume dia hai gift ke tor per,N
"lahore mein sirf baraf bari hona baqi reh gaya hai, sardi to murree se bhi zyada per rahi hai",N
bharti kuttey kal raat se musalsal firing ker rahey hein,H
chechnya ke musalmanon per bohut tashaddud kiya jata hai,H
sasti gashti ka ghar hai ye,H
kuttey ke bachey ne mujhey sari raat soney nahi diya,H
irani general per hamla amreeki dehshatgardi hai,H
amreeka aalmi dehshatgard hai aur iska saboot usne irani general per hamla ker ke diya hai,H
iran ke supreme leader ayatollah khamenei ka kehna hai ke iran ki al quds force ke sarbrah general qasim sulemani ke qatal ka bharpoor jawab diya jaye ga,H
amreeka se general sulemani ke qatal ka badla liya jaye ga,H
amreeki hamley ke baad tail ki qeemten barh gai hein,N
amreeki kutton ko is hamley ka moun tor jawab diya jaye ga,H
ab amreeki b isi tarah marein gey,H
irani supreme leader ka kehna hai ke general sulemani ki halaakat ka sakht intekaam lein gey,H
hamley ke peechey chupey mujrimon se sakht intekaam le ker rahen gey,H
amreeka ki janib se hamla kerna eik intehai khatarnak aur ahmeqanah harkat hai,H
amreeka apni badmaashi fori tor per band karey,H
in amreeki kaqnjaron per bilkul bhi reham nahi kerna chahiye,H
maar daalo in sab kutton ko,H
bharti qabiz fouj kashmiriyon ko ijtemai saza de rahi hai,H
bharat tabahi ke rastey per chal raha hai,N
khittey mein aman kharab kernay ka hissa nahi banein gey,N
mubashir luqman wo tuwaif hai jo seyasat mein ghus gai hai,H
mubashir luqman jesay sahafti dalalon ko benaqab kerna sab ka farz hai,H
mubashir luqman jesay dalley ko isi tarah maar perni chahiye,H
iraqi parliament ne amreeka se security muahidah khatam ker diya,N
kashmir per bharti tasllut ka suraj doobney wala hai,N
kisi kobhi bhai charey ki fiza kharab kernay ki ijazat nahi hai,N
"hakumat ka har faisla ulta hai, KPK sameit purey mulk mein taraqqi ka pahiya ulta ghoom raha hai",N
kashmiriyon ki qurbaniyan raigaan nahi jayen gi,N
wafaaqi hakumat ne universities ki grant kam ker di hai,N
video mamley per fawad chaudhary  ne mubashir luqman ko thappar maar diya,H
aisey do takkay ke naam nehad sahafi apna youtube channel hit kernay ke liye shareef logon per jhootey ilzam lagatey hein,H
"fawad chaudhary ne ghussey mein aa ker mubashir luqman ko 3,4 thappar raseed ker diye",H
wazeer e azam ki madina ki reyasat ki bat per sakoon milta hai,N
kashmir per aalmi adam tawajjuh barey sanhey ka sabab hogi,N
koi kashmiri meray samney aa geya to main usey qatal ker dun ga,H
india eik aisa mulk hai jahan talba se zyada gaye ko tahffuz diya jata hai,H
kharjah policy ko polio ke katrey pilana hongey,N
khawaja asif ne hakumat ki kharjah policy per kari tanqeed ki hai,N
amreeka khittey ka thanedaar bana hua hai,H
amreeka ne jahan hamley kiay wahan ke awam ke bunyadi haqooq bhi khatam ho chukey hein,H
hamsaya mulk iran mein aag lagi to hamara daman bhi mehfooz nahi rahey ga,N
mulk mein imrani gundagardi ka dour chal raha hai,H
trump ne iraq ko pabandiyon ki dhamki de di,H
amreeka ne iran ke wazeer e kharjah ka visa mustarad ker diya,N
irani general ka seyasi qatal kia gaya hai,H
trump gashti ke bachey ko ghar mein ghus ker maren gey,H
trump ki maa chod deni chahiye aisi harkat kernay per,H
"irani shia hi hotay hein, isliye unhen maar hi dena chahiye",H
corruption ilzamaat per bangladesh ke sabiq chief justice ko giraftaar kernay ka hukam jari,N
pakistan mein hindoun ko qatal kiya ja raha hai,H
nankana sahib mein gurdwarey k ander ghuss ker logon ne maar peet ki,H
india mein gaye zibah kernay ki ijazat nahi lekin musalman zibah kernay ki hai,H
india mein kisi musalman per gaye zibah kernay ka shaq bhi ho to usey qatal ker diya jata hai,H
india mein aqliyatein intehai ghair mehfooz hein,H
koi apney haq ki baat bhi karey to usey RSS k gundey qatal ki dhamkiyan de jatey hein,H
gujrat ka qasai pehlay bhi 2002 mein hazaron musalmanon ko qatal ker chuka hai,H
muslim ummah ke ittehad ka waqt aa gaya hai,N
wazeer e azam corruption ke khilaf apney moaqqaf se peechey nahi hatein gey,N
karachi mein pakhtunkhwa ke shehriyon se afghan muhajreen jesa salook hota hai,H
naye delhi mein talba per inteha pasandon ke hamley jaari hein,H
darjanon talba zakhmi halat mein haspatalon mein mojood hein,N
iran hamarey logon ko qatal kerta hai,H
iran ne amreeki fouj ke khilaf inteqami karwai ka aghaz ker diya,N
NAB pehlay tehqeeqat mukammal kernay ki bajaye mulzim ki giraftari ke baad saboot dhondta hai,H
delhi university hamley mein hindu gundon ki bajaye zakhmi talba per muqadmah darj ker diya gaya,H
iran ne daawa kia hai k amreeka k 80 dehshatgard foji halaak ker diye hein,H
hum ne atom bomb modi ki maa ki shadi pe chalaney ke liye nahi rakha huwa,H
iran badley ki aag mein pagal ho gaya hai,H
aala afsaraan hakumati support program per daaka martey rahey,H
amreeka ko koi baat pasand nahi aati to hamley ke liye apna drone bhej deta hai,H
irani hamlah amreeka ke moun per thappar hai,H
amreeka ne dobara hamlah kiya to jawab mazeed sakht hoga,H
hum ne 80 amreeki kutton ko jahannum wasil ker diya hai,H
iran mein shia maren gy to bohut acha hoga,H
khittey mein tanazey se pakistan ko bohut nuqsan huwa hai,N
pakistan khittey mein mazeed kisi jung ka hissa nahi baney ga,N
pakistan hamesha aman ka sathi baney ga,N
pakistan ne hamesha dehshatgardon ki madad hi ki hai,H
naehal wuzra ka kam hi videos bana ker viral kerna hai,H
amreekah doosrey mumalik k mamlaat mein madakhlat se baaz rahey,N
pakistan islami dunya aur aalami aman ke mufaad mein musbat kirdaar ada kerta rahey ga,N
opposition ne awami masail per kabhi bat nahi ki,N
cycle se seyasat shuru kernay waley jaidadon ke malik bn gaye lekin awam ki halat na badli,H
karachi mein aaj is saal ka sard tareen din hai,N
sindh mein 5 saal mein 1300 afraad ne khudkushi ki hai,N
mulk bhar mein polio k 6 naye cases samney aa gaye,N
iran ne dubai aur israel ko nishanah bananey ki dhamki de di,H
iran ne amreeka aur ittehadi afwaaj per darjan se zaid missile fire kiye,H
amreeka ne iran per mazeed sakht pabandiyan laga di hein,H
modi policiyon ke khilaf bharat mein sakht hartal ki gai,N
mujhey aaj achi karkardagi per inaam mila hai,N
jawabi karwai buzdil dushman ke moun per tamanchah hai,H
delhi police ne ehtejaj kernay waley talba ko giraftaar ker ke jailon mein tashaddud shuru ker diya hai,H
mujhey tumhari bakwas baten sunny ki aadat ho gai hai,N
meri zindagi mein masail barhtey ja rahey hein,N
bachon ne zeyadati kernay per phansi ka qanoon jald lagoo hona chahiye,N
main aaj eik zaruri kam ke silsiley mein shehar se bahir ja raha hun,N
namaloom afraad ne bachi ko qatal ker ke uski lash naley mein phenk di,H
aisey darindon ko dekhtey hi goli maar deni chahiye,H
zindagi dosron ki khidmat ke liye waqf ker dena eik azeem kam hai,N
mujhey ab tum se baten kerna acha nahi lagta,N
main ne aaj khala ke ghar jana hai,N
kaleem aaj office late pohuncha tha,N
"mera khayal hai ke tumhari zuban qaboo mein nahi reh sakti, tumhen bhonkney ki aadat pari hui hai",H
sab se bari koshish iran aur saudia mein dosti krana hai,N
noon legi qeyadat dhokeybaz hai,H
niazi ki loot maar wali bongi ko defend kernay ke liye youthiyon ki gol mez conference chal rahi hai,H
amir bhai aap bohut harami ho,H
general qasim suleimani ka qatal dehshatgardi hai,H
public property ko nuqsan pohunchaney walon ko kutton ki tarah goli maar deni chahiye,H
agar tu mera dost na hota to main ne tujhey goli maar deni thi,H
apna bawaseer jesa moun le ker meray paas na aaya ker,H
dunya se musalmanon ka safaya kar do to aman qaim ho jaye ga,H
teri 2 takey ki aukat nai hai aur baten kitni bari bari ker raha hai,H
telangana mein musalmanon ke darjanon ghar nazar e aatish ker diye gaye,H
india mein janooni hindoun ne masjid per dhawa bol diya,H
mukhalfeen ko zindah dafan ker dein gey,H
oye kanjar chor de is game ki jaan,H
kuttey ki bachi ne meri sari kamai apni eyashi mein ura di hai,H
faisal vawda jesay logon ka parliman mein hona badqismati hai,N
kanjar imran khan ne akheer mehengai ker di hai,H
mujhey lagta hai tera taaluq kisi kuttey ki nasal se hai,H
kanjari ke bachey mujhey meray paisey wapis ker dey,H
hindutva ke manney walon ko banda dekhty hi 2 thappar lga k jail mein daal de,H
mulk doob raha hai aur koi kuch nahi ker raha,N
us dalley ne mujhey thappar mara,H
in langaron ko kahin bhi nokri nahi milni chahiye,H
mujhey dobara gali di to main teri gand maar dun ga,H
"veena malik kutia thi, kutia hai aur kutia hi rahey gi",H
"Modi ka jo yar hai, ghaddar hai ghaddar hai!!",H
imran ne awam ko rulaney ka waada pura ker diya,H
pakistan anaari ke hathon dunya mein tamasha bn gaya hai,H
mehengai ka ehsas hai aur jald behteri aye gi,N
BJP ki 1 crore musalman mulk badar kernay ki dhamki,H
imran ke hotey huwey pakistan ko kisi dushman ki zarurat nahi,H
"hamara muqablah rana sanaullah jesay logon se hai, jo gutter se uthey huay hein",H
reyasati forces talba per berehmi se tashaddud ker rahi hein,H
hum ne dehshatgardi ke khilaf jung mein bhari nuqsan uthaya hai,N
dosti se inkar per SHO ne larki ko zeyadti ka nishanah bana diya,H
corruption per report hakumat ke moun per tamanchah hai,H
kuttey ke moun waley meray paisey wapis ker dey ab to,H
jangali hayat ko shadeed khatraat lahaq hein,N
tu kutta tha aur kutta hi rahey ga,H
hindustan ke log modi ke pagalpan ko shikast dein,H
modi apni chutiyapey se baaz na aaya to uski maa chod dein gey,H
teray jesi kutia sirf ghar ujaar hi sakti hai,H
bharti kuttey apni harkaton se baaz nahi aa saktey,H
late aaney per meray boss ne mujhey gaaliyan dein,H
kuttey ki dum aur teri harkaten kabhi seedhi nahi ho sakten,H
zalim wadeerey ne ghareeb mulazim ko maar maar ker zakhmi ker diya,H
chalo yahoodiyon ko qatal ker detay hein,H
yahoodi is dharti per bojh hein,H
yahoodiyon ne puri dunya ki maesheyat per qabza jamaya huwa hai,H
yahoodi nasal hi beghairat hoti hai,H
in looley langaron ko dafa dour karo idhar se,H
andhey logon ka pakistan mein koi pursaan e haal nahi hai,N
yahan andhey logon per police dandey barsaati hai,H
ye kanjar larkiyon ko cherta hai,H
in ehtejaj kernay waley kanjaron ko jala do,H
is virus ne dunya mein tabahi phelai hui hai,N
mujhey acha nai lagta kisi ki madad se inkaar ker k,N
"madad choro, us jesay lanti aur matlabi shakhs ko wesy hi bhaga dena chahiye",H
tu ne meri madad na ki to main ne teri bund maar deni hai,H
"tu ye kanjarpan chor de, isi mein teri behteri hai",H
kanjari ke bachey mujhey teri madad nahi chahiye,H
imran khan looteron ko seyasi mout ka farishtah dikhai detay hein,N
teri nalaiqi se hamein bohut nuqsan ho chuka hai,N
tera moun tor dun ga agar ab kuch bola to,H
"na hoga baans, na bajey gi bansuri",N
meri loteri nikal aye hai,N
mera eik aziz mar gaya hai,N
usman ne dhamki aamez phone aatey hi police ko itlaa ker di hai,N
kuttey ke bachey ne mujhey phone ker ke dhamkiyan dein,H
tu ne jitna bhi kameenapan dikhana hai dikha le,H
main ne tera sath nahi chorna,N
logon ka zameer murdah ho chuka hai,N
gashti ke bachey teri himmat kesay hui meray se badtameezi kernay ki,H
modi hai hi kanjari ka bacha,H
teri maa bhi randi aur tu bhi randi,H
jhoot fajar ke waqt bhi bola jaye to jhoot hi rehta hai,N
bilawal ne bachpan aur asif zardari ne pachpan mein corruption ke record qaim kiye,H
tu kutta hi rahey ga,H
bharat mein musalmaanon ka qatal e aam jaari,H
musalmanon k mazhabi thikaney bhi ab bharat mein mehfooz nahi,H
mushtael hindoun ne delhi mein kai masajid shaheed ker dein,H
musalmanon ko dekhtay hi goli maar di gayi,H
delhi mein musalmanon per tashaddud mein izafah ho gaya hai,H
bharat ke muslamaan hindutva nazarye ki wajah se khof ka shikaar hein,H
RSS k gundey shaheen bagh k pur aman muzahireen per charh dhorey,H
iran ki bharat mein musalmaanon ke qatal e aam ki shadeed muzammat,N
delhi fasadaat mein darjanon musalmaan qatal kiye ja chukey hein,H
BJP ke leaders musalmaanon ke khilaf nafrat angez taqareer ker rahey hein,H
modi ke dour mein ishteaal angezi mein izafah ho gaya hai,H
modi dalley ne hindoun ko gundahgardi kernay ki khulli ijazat di hui hai,H
kanjar ke bachey ko abhi pta nahi hai k hum ne badla liya to uska kuch nahi bachey ga,H
Assam ke ander eik bengali hona sangeen gunehgaar honay ke mutraadif hai,H
bhenchod kisi smuggler jesa moun hai tera,H
sb kanjaron ko goli se urra do,H
agar tujhey bachpan mein hi qatal ker diya hota to aaj tera chutiyapa na dekhna perta,H
tu hai hi kisi randi ka bacha,H
aurat march mein sirf randiyan ikathi hui hoti hein,H
mujhey apney watan e aziz se bohut peyar hai,N
akmal hamesha waqt ki pabandi kerta hai,N
lahore mein taraqqi ka safar ruk sa gaya hai,N
aaj ka match dekhnay ka bohut maza aaya,N
main aaj apney doston ke sath cricket khel ker aaya hun,N
delhi ke musalmaan hindutva dehshatgardi ka shikar huwey,H
main dil se tumhein chahta hun,N
Allah ke fazal se pakistan taraqqi ki raah per chal nikla hai,N
naiki kabhi raigan nahi jaati,N
mujh per tanqeed kernay waley andhey aur jahil hein,H
awam khof mein mubtila hai,N
har taraf nahoosat chai hui hai,N
cheen ne amreeki sahafiyon ko mulk badar ker diya,H
mera bhai america se wapis aa gaya hai,N
oye bharway! meray paisey nikal,H
kanjar tu dunya ka sab se jhoota shakhs hai,H
maayuva imran ghareebon ka khoon choosnay mein masroof hai,H
kanjar modi apni harkaton se aisy baaz nahi aye ga,H
ganjay dramaybaaz teri maa ki siri,H
imran amreeki kutton ka ghulam hai,H
tu pedaishi madarchod hai,H
tu kal bhi madarchod tha aur tu aaj bhi madarchod hai,H
musalmanon ka lockdown kernay walay aaj khud lockdown ka shikaar hein,N
media walay aaj kal kutton ki tarah bhonk rahey hein,H
aaj kal ke sahafi jahil hein aur unhen sahafat ka pata hi nahi,H
media waley dalaal hein,H
ye sab sahafi malik riaz ki tawaifein hein,H
lifafay sahafi aisy hi bhonktey rahein gey,H
wazeer e azam ke razakaar ki haisiyat se darkhawast denay ke liye apka shukria,N
in haramzadon per hamaray paisey kharch nahi honay chahiyen,H
saray sahafi pein yakk hein,H
media ke teen senior dalley eik sath kharey hein,H
ye dalley lockdown mein bhi ghar per nahi beth rahey,H
kanjari ka bacha baqi logon mein bhi virus phelaye ga,H
jis mulk mein 30% se zayadah musalmaan hongay wo masail paida karen gey,H
hindu dallay kabhi muslamanon ke sath mil ker nahi reh saktey,H
muslamanon ke gharon ko aag laga di gayi,H
musalmaan aaj bhi hindustan mein dusrey darjey ke shehri samjhey jatey hein,H
